sample_id,guideline_version,annotator_id,timestamp,true_label,revision_id,device_id,sampling_rate_hz,axis_config,sensor_noise_std,noise_score,annotation_timestamp
0,v1.0,annotator_1,2020-01-01 00:00:00,5,0,SamsungS3,50,standard,0.029544450586218074,0.13632369847815717,
1,v1.0,annotator_3,2020-01-01 01:00:00,5,0,SamsungS2,50,standard,0.0577348643534193,0.02166383020487227,
2,v1.0,annotator_5,2020-01-01 02:00:00,5,0,SamsungS2,50,rotated_5deg,0.07061848119808543,0.017429736707862645,
3,v1.0,annotator_1,2020-01-01 03:00:00,5,0,SamsungS3,50,standard,0.005500722391779472,0.07634986247292491,
4,v1.0,annotator_3,2020-01-01 04:00:00,5,0,SamsungS2,50,standard,0.13238485027283511,0.04635842247815386,
5,v1.0,annotator_4,2020-01-01 05:00:00,5,0,SamsungS3,50,rotated_5deg,0.11378847940716855,0.05768553365002901,
6,v1.0,annotator_4,2020-01-01 06:00:00,5,0,SamsungS3,50,standard,0.04020154604716448,0.019430280667830504,
7,v1.0,annotator_1,2020-01-01 07:00:00,5,0,SamsungS2,100,standard,0.0385152351343579,0.0543573641377784,
8,v1.0,annotator_5,2020-01-01 08:00:00,5,0,SamsungS2,50,standard,0.0038378176490196647,0.025910660638347054,
9,v1.0,annotator_1,2020-01-01 09:00:00,5,0,SamsungS2,50,rotated_5deg,0.059869809401435534,0.036737161728709014,
10,v1.0,annotator_3,2020-01-01 10:00:00,5,0,SamsungS2,50,standard,0.03817204756582437,0.03817085335152347,
11,v1.0,annotator_2,2020-01-01 11:00:00,5,0,SamsungS3,100,standard,0.09276299607626803,0.07913596585723855,
12,v1.0,annotator_1,2020-01-01 12:00:00,5,0,SamsungS3,50,rotated_5deg,0.08218245930737504,0.11825257259939033,
13,v1.0,annotator_2,2020-01-01 13:00:00,5,0,SamsungS3,50,standard,0.14356997991126388,0.2113226164145376,
14,v1.0,annotator_1,2020-01-01 14:00:00,5,0,SamsungS2,50,standard,0.11928659675852833,0.07167360027986298,
15,v1.0,annotator_2,2020-01-01 15:00:00,5,0,SamsungS3,50,standard,0.012129705576195759,0.10138018786005545,
16,v1.0,annotator_1,2020-01-01 16:00:00,5,0,SamsungS3,50,rotated_5deg,0.10564304925760569,0.08874081096802063,
17,v1.0,annotator_5,2020-01-01 17:00:00,5,0,SamsungS3,50,standard,0.016067267673266328,0.06201997454182786,
18,v1.0,annotator_1,2020-01-01 18:00:00,5,0,SamsungS3,100,standard,0.04846316549836424,0.048040181004987595,
19,v1.0,annotator_5,2020-01-01 19:00:00,5,0,SamsungS2,50,rotated_5deg,0.08325267172655723,0.06934917041802965,
20,v1.0,annotator_5,2020-01-01 20:00:00,5,0,SamsungS2,50,standard,0.07435763884714304,0.178276503646443,
21,v1.0,annotator_3,2020-01-01 21:00:00,5,0,SamsungS2,50,standard,0.10400021290010013,0.19190333116755376,
22,v1.0,annotator_3,2020-01-01 22:00:00,5,0,SamsungS2,50,standard,0.12150425254740063,0.19209622200036366,
23,v1.0,annotator_2,2020-01-01 23:00:00,5,0,SamsungS3,50,rotated_10deg,0.12440781622049323,0.23597669357766823,
24,v1.0,annotator_6,2020-01-02 00:00:00,5,0,SamsungS2,50,standard,0.008750064242598676,0.0984147542504519,
25,v1.0,annotator_4,2020-01-02 01:00:00,5,0,SamsungS2,50,rotated_5deg,0.09624834820754449,0.012000650936637365,
26,v1.0,annotator_6,2020-01-02 02:00:00,5,0,SamsungS2,100,standard,0.1442066919651361,0.09741988176774083,
27,v1.0,annotator_2,2020-01-02 03:00:00,4,0,SamsungS3,50,standard,0.113253143098749,0.03766495922331242,
28,v1.0,annotator_5,2020-01-02 04:00:00,4,0,SamsungS2,50,standard,0.07798545313613876,0.012430452756343035,
29,v1.0,annotator_2,2020-01-02 05:00:00,4,0,SamsungS2,50,standard,0.14978094993627206,0.02466567327044176,
30,v1.0,annotator_5,2020-01-02 06:00:00,4,0,SamsungS2,50,standard,0.006597308180021971,0.23554082415770647,
31,v1.0,annotator_1,2020-01-02 07:00:00,4,0,SamsungS2,50,standard,0.013222931659184355,0.19865818507512925,
32,v1.0,annotator_3,2020-01-02 08:00:00,4,0,SamsungS3,50,standard,0.11522131234511888,0.10939170413890686,
33,v1.0,annotator_4,2020-01-02 09:00:00,4,0,SamsungS2,100,standard,0.08246217388918571,0.06404108877423594,
34,v1.0,annotator_4,2020-01-02 10:00:00,4,0,SamsungS2,50,standard,0.01866366662425609,0.04836590338854605,
35,v1.0,annotator_2,2020-01-02 11:00:00,4,0,SamsungS3,50,rotated_5deg,0.05629688325225938,0.04274246707390405,
36,v1.0,annotator_4,2020-01-02 12:00:00,4,0,SamsungS2,50,standard,0.009643294730074553,0.051362925072039226,
37,v1.0,annotator_1,2020-01-02 13:00:00,4,0,SamsungS3,50,rotated_10deg,0.07896304201195338,0.03904571953194399,
38,v1.0,annotator_3,2020-01-02 14:00:00,4,0,SamsungS3,50,standard,0.015610410153700065,0.06639847877650887,
39,v1.0,annotator_3,2020-01-02 15:00:00,4,0,SamsungS3,50,rotated_5deg,0.0010347893237548699,0.05836517790575078,
40,v1.0,annotator_2,2020-01-02 16:00:00,4,0,SamsungS2,50,standard,0.04836361904349002,0.10143622394290748,
41,v1.0,annotator_4,2020-01-02 17:00:00,4,0,SamsungS2,50,standard,0.03508014752808042,0.0686765110045549,
42,v1.0,annotator_1,2020-01-02 18:00:00,4,0,SamsungS2,50,standard,0.05431466650710561,0.06340506344274224,
43,v1.0,annotator_1,2020-01-02 19:00:00,4,0,SamsungS2,100,standard,0.05256849479196634,0.031176436353669502,
44,v1.0,annotator_3,2020-01-02 20:00:00,4,0,SamsungS2,50,standard,0.09450193285320531,0.01866495154986673,
45,v1.0,annotator_5,2020-01-02 21:00:00,4,0,SamsungS2,100,standard,0.10200221937365266,0.054406253543547986,
46,v1.0,annotator_3,2020-01-02 22:00:00,4,0,SamsungS2,100,standard,0.019103852127370646,0.03445190608322081,
47,v1.0,annotator_5,2020-01-02 23:00:00,4,0,SamsungS2,50,standard,0.07329923503257672,0.015913806821894895,
48,v1.0,annotator_3,2020-01-03 00:00:00,4,0,SamsungS3,100,standard,0.13337270424719952,0.03517520626187971,
49,v1.0,annotator_4,2020-01-03 01:00:00,4,0,SamsungS3,50,standard,0.02226158076625719,0.028175554651151125,
50,v1.0,annotator_2,2020-01-03 02:00:00,4,0,SamsungS2,100,rotated_5deg,0.14503117816039307,0.04473969889087105,
51,v1.0,annotator_5,2020-01-03 03:00:00,6,0,SamsungS3,100,standard,0.0029017755572920746,0.018915071514715668,
52,v1.0,annotator_2,2020-01-03 04:00:00,6,0,SamsungS3,100,rotated_5deg,0.014957452601415627,0.005208637855388031,
53,v1.0,annotator_3,2020-01-03 05:00:00,6,0,SamsungS2,50,rotated_10deg,0.026636631246383102,0.02391499033450333,
54,v1.0,annotator_1,2020-01-03 06:00:00,6,0,SamsungS2,50,standard,0.07046898449575453,0.03574463835623861,
55,v1.0,annotator_6,2020-01-03 07:00:00,6,0,SamsungS2,50,standard,0.04487288122448888,0.02217772544245881,
56,v1.0,annotator_4,2020-01-03 08:00:00,6,0,SamsungS3,50,rotated_5deg,0.06272550668938931,0.016666039824007862,
57,v1.0,annotator_5,2020-01-03 09:00:00,6,0,SamsungS2,50,standard,0.14112176290520972,0.028177719068816283,
58,v1.0,annotator_1,2020-01-03 10:00:00,6,0,SamsungS3,50,rotated_5deg,0.05120718543739681,0.02091504685175141,
59,v1.0,annotator_1,2020-01-03 11:00:00,6,0,SamsungS3,100,standard,0.12721740161356604,0.020430613425007432,
60,v1.0,annotator_2,2020-01-03 12:00:00,6,0,SamsungS3,100,standard,0.010921089383748922,0.027177706579775075,
61,v1.0,annotator_3,2020-01-03 13:00:00,6,0,SamsungS2,100,standard,0.1217918000141028,0.008208628452451495,
62,v1.0,annotator_5,2020-01-03 14:00:00,6,0,SamsungS2,50,standard,0.1352338696045115,0.011208634823738982,
63,v1.0,annotator_2,2020-01-03 15:00:00,6,0,SamsungS2,50,standard,0.04274988835105318,0.026177715913518345,
64,v1.0,annotator_2,2020-01-03 16:00:00,6,0,SamsungS2,50,standard,0.08206483943847344,0.05370075621031591,
65,v1.0,annotator_2,2020-01-03 17:00:00,6,0,SamsungS3,50,standard,0.028074149493014917,0.01620864133454427,
66,v1.0,annotator_4,2020-01-03 18:00:00,6,0,SamsungS3,50,standard,0.013628449467862912,0.1178452115334363,
67,v1.0,annotator_2,2020-01-03 19:00:00,6,0,SamsungS3,50,standard,0.11556021116232854,0.09800565197996083,
68,v1.0,annotator_6,2020-01-03 20:00:00,6,0,SamsungS2,100,standard,0.09447448700667369,0.012208643522187685,
69,v1.0,annotator_1,2020-01-03 21:00:00,6,0,SamsungS2,100,rotated_5deg,0.11283649346146406,0.07878661524891115,
70,v1.0,annotator_4,2020-01-03 22:00:00,6,0,SamsungS3,100,rotated_5deg,0.06595289017502055,0.2737694750534016,
71,v1.0,annotator_3,2020-01-03 23:00:00,6,0,SamsungS3,50,rotated_5deg,0.03744092905129943,0.2609003163925074,
72,v1.0,annotator_1,2020-01-04 00:00:00,6,0,SamsungS2,50,standard,0.06402749403613764,0.08040998479829059,
73,v1.0,annotator_4,2020-01-04 01:00:00,6,0,SamsungS3,100,standard,0.009718536117818104,0.08540985520905983,
74,v1.0,annotator_2,2020-01-04 02:00:00,6,0,SamsungS2,50,rotated_10deg,0.04252904663424742,0.07904797411832543,
75,v1.0,annotator_4,2020-01-04 03:00:00,6,0,SamsungS2,50,standard,0.04462841368105991,0.07804780867174363,
76,v1.0,annotator_4,2020-01-04 04:00:00,6,0,SamsungS3,50,standard,0.1071786976205444,0.07236752923339808,
77,v1.0,annotator_1,2020-01-04 05:00:00,6,0,SamsungS3,100,standard,0.007970265978635887,0.08778619158374376,
78,v1.0,annotator_5,2020-01-04 06:00:00,1,0,SamsungS2,50,rotated_5deg,0.03679077175619799,0.175149994345515,
79,v1.0,annotator_4,2020-01-04 07:00:00,1,0,SamsungS3,50,standard,0.041491554800799614,0.06436551492334941,
80,v1.0,annotator_4,2020-01-04 08:00:00,1,0,SamsungS3,50,standard,0.0827040857667673,0.038452743294249726,
81,v1.0,annotator_2,2020-01-04 09:00:00,1,0,SamsungS2,50,rotated_5deg,0.036704170674148294,0.010000001306318684,
82,v1.0,annotator_1,2020-01-04 10:00:00,1,0,SamsungS3,100,standard,0.01986436150572842,0.017430618553311825,
83,v1.0,annotator_2,2020-01-04 11:00:00,1,0,SamsungS2,50,rotated_5deg,0.038697114586514654,0.00420863332034837,
84,v1.0,annotator_6,2020-01-04 12:00:00,1,0,SamsungS2,100,standard,0.06328244633135782,0.03345360230250365,
85,v1.0,annotator_6,2020-01-04 13:00:00,1,0,SamsungS2,50,rotated_5deg,0.07882150924503227,0.008208600068283575,
86,v1.0,annotator_3,2020-01-04 14:00:00,1,0,SamsungS2,50,standard,0.005485379264207418,0.0825734777939541,
87,v1.0,annotator_2,2020-01-04 15:00:00,1,0,SamsungS2,100,standard,0.04647162773133581,0.020177517390709738,
88,v1.0,annotator_4,2020-01-04 16:00:00,1,0,SamsungS2,50,standard,0.11462523599032343,0.013208633394381625,
89,v1.0,annotator_4,2020-01-04 17:00:00,1,0,SamsungS3,50,standard,0.08964258137760334,0.004000008567964243,
90,v1.0,annotator_5,2020-01-04 18:00:00,1,0,SamsungS2,50,standard,0.0684059068068364,0.016666052872631624,
91,v1.0,annotator_1,2020-01-04 19:00:00,1,0,SamsungS2,50,standard,0.06794573807861004,0.0544055991697906,
92,v1.0,annotator_1,2020-01-04 20:00:00,1,0,SamsungS3,50,standard,0.055334907377924604,0.02166587239877068,
93,v1.0,annotator_2,2020-01-04 21:00:00,1,0,SamsungS2,50,rotated_5deg,0.051306596174071774,0.002000048175463681,
94,v1.0,annotator_1,2020-01-04 22:00:00,1,0,SamsungS2,50,standard,0.06009539903591592,0.005208638931158623,
95,v1.0,annotator_5,2020-01-04 23:00:00,1,0,SamsungS2,50,rotated_5deg,0.13038107410954738,0.027453462253996936,
96,v1.0,annotator_3,2020-01-05 00:00:00,1,0,SamsungS2,50,standard,0.07032469718970691,0.018665436944167623,
97,v1.0,annotator_5,2020-01-05 01:00:00,1,0,SamsungS2,50,rotated_10deg,0.10039070973666483,0.029175082958815407,
98,v1.0,annotator_1,2020-01-05 02:00:00,1,0,SamsungS2,100,standard,0.12117729959144563,0.05604723605278885,
99,v1.0,annotator_3,2020-01-05 03:00:00,1,0,SamsungS2,50,standard,0.06479499121352994,0.1308432098387638,
100,v1.0,annotator_3,2020-01-05 04:00:00,1,0,SamsungS2,50,rotated_10deg,0.12587476243255372,0.07439977370266178,
101,v1.0,annotator_2,2020-01-05 05:00:00,1,0,SamsungS2,100,rotated_10deg,0.1489024562427467,0.041452976642502345,
102,v1.0,annotator_3,2020-01-05 06:00:00,1,0,SamsungS2,50,standard,0.0756241821281492,0.022177281516661335,
103,v1.0,annotator_3,2020-01-05 07:00:00,1,0,SamsungS2,100,standard,0.060411976108233456,0.03191491756988979,
104,v1.0,annotator_5,2020-01-05 08:00:00,1,0,SamsungS3,50,rotated_5deg,0.12086943194748331,0.04304384687258837,
105,v1.0,annotator_1,2020-01-05 09:00:00,1,0,SamsungS2,100,standard,0.09737548727145362,0.017430580869341843,
106,v1.0,annotator_5,2020-01-05 10:00:00,1,0,SamsungS2,50,standard,0.09197930420408103,0.02691489882259355,
107,v1.0,annotator_6,2020-01-05 11:00:00,1,0,SamsungS3,50,rotated_5deg,0.1329187433664051,0.005000002375359119,
108,v1.0,annotator_4,2020-01-05 12:00:00,1,0,SamsungS3,100,rotated_5deg,0.09741813334012739,0.0020000012103864777,
109,v1.0,annotator_4,2020-01-05 13:00:00,1,0,SamsungS2,50,standard,0.09623661272974349,0.004208634419091405,
110,v1.0,annotator_1,2020-01-05 14:00:00,1,0,SamsungS2,50,standard,0.03103540851667823,0.0030000335752332244,
111,v1.0,annotator_3,2020-01-05 15:00:00,1,0,SamsungS3,100,standard,0.1032342056020229,0.13148845259214595,
112,v1.0,annotator_4,2020-01-05 16:00:00,1,0,SamsungS3,100,standard,0.1369496796736116,0.07517451389067956,
113,v1.0,annotator_3,2020-01-05 17:00:00,1,0,SamsungS2,50,standard,0.08645131053675643,0.008430457775443219,
114,v1.0,annotator_2,2020-01-05 18:00:00,1,0,SamsungS2,50,standard,0.13550593011948828,0.025177473186720534,
115,v1.0,annotator_6,2020-01-05 19:00:00,1,0,SamsungS3,50,rotated_10deg,0.05093560160391552,0.029912985249788415,
